;acc;itterations;kernelSize;time
0;[0.8295333333333333, 0.9186666666984558, 0.9432, 0.9592, 0.9682, 0.9741333333333333];6;3;55.758686542510986
1;[0.8430666666348775, 0.9382666666984558, 0.9578666666348775, 0.9688, 0.9758666666666667, 0.9794666666666667];6;7;89.25836992263794
2;[0.8574000000317892, 0.9501333333651225, 0.9668666666348775, 0.9739333333333333, 0.9780666666348775, 0.9823333333015442];6;11;103.96154737472534
3;[0.8333999999682109, 0.9383999999682109, 0.9555999999682109, 0.9648666666348775, 0.9712, 0.9775333333333334];6;15;90.06372356414795
4;[0.8181333333015441, 0.9208666666666666, 0.9426666666984558, 0.9564666666666667, 0.9635333333333334, 0.9699333333015442];6;19;68.95683693885803
5;[0.7979333333333334, 0.9081333333333333, 0.9300666666348775, 0.9424666666666667, 0.9516, 0.9607333333015442];6;23;38.90149521827698
6;[0.8012, 0.8904666666984558, 0.9040666666984558, 0.9136666666348775, 0.9221333333651225, 0.9292];6;27;14.307352542877197
