;acc;iterations;loss;model;time;val_acc;val_loss
0;[0.9474, 0.9858, 0.9905, 0.9935, 0.995, 0.9963, 0.997, 0.9976, 0.9982, 0.9984, 0.9987, 0.9992, 0.9992, 0.9995, 0.9994, 0.9996, 0.9996, 0.9998, 0.9998, 0.9998];20;[0.1663, 0.0458, 0.0303, 0.0214, 0.0161, 0.0119, 0.0094, 0.0077, 0.0064, 0.005, 0.004, 0.0026, 0.0023, 0.0022, 0.0018, 0.0015, 0.0013, 0.0008, 0.0008, 0.0008];model1, kernel: (7,7), pool: (2, 2), dropout: 0.1 ;5543.95;[0.981, 0.9888, 0.9903, 0.9915, 0.9904, 0.9901, 0.991, 0.9927, 0.9927, 0.9915, 0.9919, 0.9921, 0.9903, 0.9923, 0.992, 0.9918, 0.992, 0.9922, 0.9917, 0.9921];[0.0587, 0.0319, 0.0282, 0.0259, 0.0276, 0.0327, 0.0315, 0.0295, 0.0293, 0.0322, 0.0305, 0.0322, 0.0388, 0.0346, 0.0358, 0.0357, 0.0349, 0.0353, 0.043, 0.0424]
1;[0.9476, 0.9851, 0.99, 0.9927, 0.9941, 0.9951, 0.9966, 0.997, 0.9977, 0.9979, 0.9983, 0.9985, 0.9988, 0.9986, 0.9989, 0.9991, 0.9993, 0.9994, 0.9992, 0.9994];20;[0.1728, 0.0472, 0.0314, 0.0233, 0.0188, 0.0149, 0.0113, 0.0102, 0.0074, 0.0072, 0.0061, 0.0048, 0.0041, 0.0042, 0.0034, 0.0028, 0.0027, 0.0021, 0.0025, 0.0022];model1, kernel: (7,7), pool: (2, 2), dropout: 0.2 ;5544.8;[0.9832, 0.9878, 0.9884, 0.9898, 0.9908, 0.9872, 0.9925, 0.9913, 0.9922, 0.9923, 0.9928, 0.9919, 0.9905, 0.9914, 0.9927, 0.9927, 0.9928, 0.9918, 0.9919, 0.9932];[0.0508, 0.0369, 0.0381, 0.0312, 0.0294, 0.0427, 0.0247, 0.0316, 0.0271, 0.0279, 0.0297, 0.0352, 0.041, 0.04, 0.0356, 0.038, 0.0385, 0.042, 0.0417, 0.0381]
2;[0.928, 0.9809, 0.9866, 0.9902, 0.9932, 0.9945, 0.9964, 0.9967, 0.9978, 0.9981, 0.9987, 0.9991, 0.9991, 0.9993, 0.9995, 0.9996, 0.9996, 0.9998, 0.9997, 0.9998];20;[0.2382, 0.0652, 0.0432, 0.0314, 0.0227, 0.0173, 0.0124, 0.0103, 0.0073, 0.006, 0.0047, 0.0032, 0.0029, 0.0027, 0.0018, 0.0019, 0.0017, 0.0012, 0.0012, 0.0011];model1, kernel: (2,2), pool: (2, 2), dropout: 0.2 ;2776.21;[0.9756, 0.9842, 0.9844, 0.9857, 0.9875, 0.9881, 0.9879, 0.9879, 0.9887, 0.9887, 0.9884, 0.9889, 0.989, 0.9894, 0.9892, 0.9886, 0.9892, 0.9887, 0.9882, 0.9902];[0.0757, 0.0481, 0.0454, 0.0412, 0.0377, 0.0353, 0.0382, 0.0406, 0.0388, 0.0448, 0.0441, 0.0433, 0.0428, 0.0433, 0.0493, 0.0515, 0.0477, 0.0543, 0.0514, 0.0506]
