;acc;itterations;kernelSize;time
0;[0.8360000000317891, 0.9396666666348775, 0.9614666666348776, 0.9729333333333333, 0.9807333333333333, 0.9839333333333333];6;3;255.3041398525238
1;[0.856, 0.9576666666666667, 0.971, 0.9772666666666666, 0.9829999999682109, 0.9855333333333334];6;7;659.5035943984985
2;[0.8539999999682109, 0.9516000000317891, 0.9710666666666666, 0.9769333333015442, 0.9825999999682109, 0.9874666666666667];6;11;206.8973183631897
3;[0.8414666666348776, 0.9471333333333334, 0.9655333333333334, 0.975, 0.9816000000317892, 0.9837999999682109];6;14;165.10500621795654
4;[0.8090666666666667, 0.9280666666666667, 0.9495999999682109, 0.9576, 0.9684666666984558, 0.9723999999682108];6;20;86.95735692977905
5;[0.7714666666348775, 0.8917333333333334, 0.9132666666348775, 0.9224666666666667, 0.9317333333015442, 0.9397333333651224];6;28;18.047062873840332
