;acc;itterations;kernelSize;time
0;[0.8098666666984559, 0.9278666666348775, 0.9530000000317892, 0.966, 0.9741333333651224, 0.9778666666348775];6;3;108.50896000862122
1;[0.8383333333651225, 0.9525333333651225, 0.9673333333015441, 0.9747333333333333, 0.9795333333015442, 0.9822];6;7;133.0293996334076
2;[0.8351999999682108, 0.9532666666666667, 0.9668666666984558, 0.974, 0.9787999999682109, 0.9834666666666667];6;11;137.78788948059082
3;[0.8240666666666666, 0.9384, 0.9597999999682109, 0.9693333333015441, 0.9740666666666666, 0.9793999999682108];6;14;112.38234329223633
