;acc;iterations;loss;model;time;val_acc;val_loss
20;[0.9345, 0.9799, 0.9858, 0.9895, 0.9918];5;[0.2183, 0.0657, 0.0462, 0.0354, 0.0279];model3, kernel: (7,7);601.15;[0.973, 0.9819, 0.9873, 0.9879, 0.989];[0.0839, 0.056, 0.0393, 0.0368, 0.0326]
21;[0.9267, 0.9799, 0.986, 0.9896, 0.9922];5;[0.318, 0.0662, 0.0448, 0.0338, 0.0257];model3, kernel: (12,12);432.85;[0.9781, 0.9843, 0.9884, 0.9892, 0.9889];[0.0703, 0.0497, 0.0354, 0.0318, 0.0347]
22;[0.9292, 0.9768, 0.9839, 0.988, 0.9902];5;[0.2301, 0.076, 0.0523, 0.0393, 0.0314];model3, kernel: (17,17);292.67;[0.9744, 0.9814, 0.984, 0.9851, 0.9858];[0.0819, 0.0606, 0.0508, 0.0473, 0.0461]
23;[0.9215, 0.9763, 0.9834, 0.9869, 0.9891];5;[0.2604, 0.0796, 0.0562, 0.0451, 0.0374];model4, kernel1: (2,2), kernel2:(2, 2);548.24;[0.9713, 0.98, 0.9805, 0.9802, 0.9797];[0.0948, 0.0647, 0.0589, 0.0607, 0.0601]
24;[0.9505, 0.9842, 0.9889, 0.9915, 0.9935];5;[0.1624, 0.0521, 0.0365, 0.0279, 0.0212];model4, kernel1: (2,2), kernel2:(7, 7);2035.33;[0.9823, 0.9856, 0.9859, 0.9881, 0.9898];[0.0562, 0.041, 0.0392, 0.033, 0.0335]
25;[0.9451, 0.9829, 0.9876, 0.9906, 0.9929];5;[0.1771, 0.0553, 0.0402, 0.0299, 0.0244];model4, kernel1: (2,2), kernel2:(12, 12);3476.31;[0.983, 0.9845, 0.9873, 0.9883, 0.9879];[0.0511, 0.0471, 0.0399, 0.0431, 0.0413]
26;[0.9328, 0.9758, 0.9806, 0.984, 0.9866];5;[0.22, 0.0843, 0.0671, 0.0602, 0.0514];model4, kernel1: (2,2), kernel2:(17, 17);3800.41;[0.9601, 0.975, 0.9823, 0.9808, 0.9817];[0.1488, 0.0861, 0.0675, 0.0828, 0.0795]
27;[0.9453, 0.9826, 0.9869, 0.9897, 0.9918];5;[0.1825, 0.0587, 0.0425, 0.0332, 0.0271];model4, kernel1: (7,7), kernel2:(2, 2);477.66;[0.9826, 0.9842, 0.986, 0.9872, 0.9883];[0.0577, 0.0476, 0.0415, 0.0378, 0.0317]
28;[0.948, 0.9836, 0.9891, 0.9916, 0.9934];5;[0.1703, 0.053, 0.0361, 0.0268, 0.0212];model4, kernel1: (7,7), kernel2:(7, 7);1342.83;[0.9838, 0.9876, 0.9901, 0.9894, 0.9899];[0.0491, 0.0371, 0.0313, 0.0328, 0.0352]
29;[0.9172, 0.9684, 0.9758, 0.9785, 0.9818];5;[0.2686, 0.1092, 0.0896, 0.0841, 0.0725];model4, kernel1: (7,7), kernel2:(12, 12);1950.62;[0.9481, 0.9706, 0.9782, 0.9754, 0.9767];[0.1684, 0.0962, 0.0844, 0.0934, 0.1242]
30;[0.8428, 0.915, 0.9251, 0.9301, 0.931];5;[0.5314, 0.3186, 0.2948, 0.2812, 0.2887];model4, kernel1: (7,7), kernel2:(17, 17);1648.63;[0.9239, 0.9012, 0.9082, 0.9284, 0.945];[0.2802, 0.3438, 0.3718, 0.299, 0.2227]
31;[0.9407, 0.9823, 0.9875, 0.9905, 0.9921];5;[0.1944, 0.059, 0.0415, 0.0314, 0.0253];model4, kernel1: (12,12), kernel2:(2, 2);366.18;[0.98, 0.9816, 0.9868, 0.9873, 0.9883];[0.0653, 0.0531, 0.0386, 0.0372, 0.0352]
32;[0.9033, 0.9646, 0.9709, 0.9742, 0.9756];5;[0.3188, 0.1211, 0.1044, 0.0929, 0.0934];model4, kernel1: (12,12), kernel2:(7, 7);763.37;[0.9672, 0.9734, 0.9752, 0.9793, 0.978];[0.1191, 0.1015, 0.0822, 0.0744, 0.0883]
33;[0.7908, 0.891, 0.9002, 0.9107, 0.9154];5;[0.6715, 0.3844, 0.3781, 0.3468, 0.3361];model4, kernel1: (12,12), kernel2:(12, 12);918.0;[0.8779, 0.9163, 0.9185, 0.925, 0.8569];[0.4653, 0.2916, 0.3405, 0.2928, 0.4794]
34;[0.1568, 0.2176, 0.2257, 0.2382, 0.2494];5;[2.2447, 2.01, 1.9675, 1.9313, 1.9039];model4, kernel1: (12,12), kernel2:(17, 17);535.52;[0.2105, 0.2184, 0.2486, 0.2472, 0.2903];[2.0775, 2.0107, 1.9586, 1.9309, 1.8782]
35;[0.9243, 0.9742, 0.9822, 0.9863, 0.9889];5;[0.2455, 0.083, 0.0578, 0.0445, 0.0355];model4, kernel1: (17,17), kernel2:(2, 2);267.28;[0.9691, 0.9774, 0.9787, 0.984, 0.9848];[0.0983, 0.069, 0.0658, 0.0535, 0.0488]
36;[0.9139, 0.9762, 0.9838, 0.9877, 0.9898];5;[0.2717, 0.0765, 0.0527, 0.04, 0.0317];model4, kernel1: (17,17), kernel2:(7, 7);362.2;[0.9624, 0.9783, 0.9803, 0.9834, 0.9852];[0.1173, 0.0678, 0.0612, 0.0544, 0.0489]
37;[0.112, 0.1124, 0.1124, 0.1124, 0.1124];5;[2.3219, 2.3013, 2.3013, 2.3013, 2.3013];model4, kernel1: (17,17), kernel2:(12, 12);346.17;[0.1135, 0.1135, 0.1135, 0.1135, 0.1135];[2.3012, 2.3011, 2.3011, 2.3011, 2.301]
