;test_acc;test_loss;time;train_acc;train_loss;val_acc;val_loss
0;0.9728;0.0885;106.06;0.9358;0.2147;0.9717;0.096
1;0.9824;0.0548;217.34;0.9802;0.0656;0.9814;0.0635
2;0.9873;0.0394;330.61;0.9863;0.0459;0.9846;0.0517
3;0.9882;0.0381;442.96;0.9896;0.035;0.9866;0.0473
4;0.9878;0.0368;549.21;0.9914;0.0284;0.9872;0.0464
5;0.9871;0.0437;657.87;0.9934;0.0226;0.9851;0.0529
6;0.9872;0.0408;769.35;0.9939;0.0191;0.9855;0.0484
7;0.9895;0.0357;878.32;0.9956;0.0151;0.9872;0.0469
8;0.9896;0.0369;987.54;0.9964;0.0117;0.9875;0.048
9;0.9882;0.039;1099.92;0.9972;0.0097;0.9878;0.0464
10;0.988;0.0431;1207.83;0.9978;0.0081;0.9865;0.05
11;0.9882;0.0421;1313.52;0.9983;0.0063;0.9879;0.0522
12;0.9896;0.0432;1419.2;0.9984;0.0053;0.9867;0.055
13;0.9886;0.0455;1534.65;0.9988;0.0043;0.9871;0.0583
14;0.9881;0.0485;1653.02;0.9991;0.0028;0.9872;0.057
15;0.9892;0.0465;1760.79;0.9994;0.0025;0.9882;0.0567
16;0.9892;0.0472;1876.55;0.9994;0.0021;0.9882;0.0608
17;0.9885;0.0541;1981.61;0.9996;0.0017;0.9872;0.0645
18;0.9887;0.0494;2088.59;0.9997;0.0012;0.9875;0.0612
19;0.9899;0.0501;2193.69;0.9998;0.001;0.9882;0.0645
20;0.989;0.0533;2299.96;0.9998;0.0009;0.9877;0.0665
21;0.989;0.0527;2405.72;0.9999;0.0006;0.9883;0.0665
22;0.9898;0.0537;2510.45;0.9999;0.0005;0.9877;0.0692
23;0.9895;0.0557;2618.64;1.0;0.0001;0.9883;0.0702
24;0.99;0.0552;2724.3;1.0;0.0002;0.9882;0.0699
25;0.9897;0.0564;2835.38;0.9999;0.0003;0.9881;0.0711
26;0.9895;0.0575;2946.07;1.0;0.0002;0.9881;0.0735
27;0.9897;0.0574;3051.72;1.0;0.0001;0.9886;0.0718
28;0.9893;0.0575;3161.24;1.0;0.0001;0.9881;0.0739
29;0.9895;0.0587;3266.59;1.0;0.0001;0.9882;0.0747
