;test_acc;test_loss;time;train_acc;train_loss;val_acc;val_loss
0;0.9829;0.0541;267.45;0.9373;0.201;0.9783;0.0703
1;0.9848;0.0508;554.11;0.9825;0.0576;0.9844;0.0581
2;0.9858;0.0445;834.64;0.9878;0.0394;0.9831;0.0562
3;0.9901;0.0311;1110.63;0.991;0.0292;0.9873;0.042
4;0.9905;0.0324;1392.78;0.9932;0.0217;0.9893;0.0391
5;0.9896;0.0352;1675.98;0.9942;0.0176;0.9893;0.0418
6;0.99;0.0375;1947.76;0.9957;0.0134;0.9884;0.0427
7;0.9903;0.0375;2241.06;0.9967;0.0102;0.9887;0.0439
8;0.9887;0.0419;2519.61;0.9971;0.0087;0.9884;0.047
9;0.9887;0.0461;2790.2;0.9984;0.0059;0.9881;0.0499
10;0.9886;0.0528;3060.06;0.9987;0.0046;0.9867;0.0593
11;0.9888;0.0478;3329.85;0.9986;0.0041;0.9886;0.0543
12;0.99;0.0442;3599.47;0.999;0.0029;0.9892;0.05
13;0.9886;0.0509;3868.38;0.9991;0.0026;0.9884;0.0574
14;0.9904;0.0501;4141.01;0.9996;0.0013;0.989;0.0552
15;0.9903;0.0536;4411.58;0.9998;0.0007;0.9885;0.061
16;0.9905;0.0531;4685.38;0.9998;0.0007;0.9899;0.0558
17;0.9906;0.0557;4956.59;1.0;0.0003;0.9893;0.0614
18;0.9903;0.0555;5226.47;0.9999;0.0003;0.9892;0.0628
19;0.9908;0.054;5497.8;1.0;0.0001;0.9895;0.0615
20;0.9906;0.0558;5768.1;1.0;0.0;0.9894;0.0621
21;0.9905;0.0572;6037.67;1.0;0.0;0.9895;0.0634
22;0.9905;0.057;6334.35;1.0;0.0;0.9894;0.064
23;0.9904;0.0578;6637.72;1.0;0.0;0.9895;0.0647
24;0.9904;0.0582;6954.73;1.0;0.0;0.9895;0.0652
25;0.9906;0.0588;7264.78;1.0;0.0;0.9892;0.0656
26;0.9905;0.0593;7571.97;1.0;0.0;0.9892;0.0661
27;0.9906;0.0594;7879.43;1.0;0.0;0.9892;0.0666
28;0.9907;0.0598;8190.16;1.0;0.0;0.9892;0.0669
29;0.9905;0.06;8495.94;1.0;0.0;0.9892;0.0672
